user_id,resource_id
298632,514
705836,523
1006166,523
291276,552
741692,366
539190,523
1602424,571
170367,1141
1004033,523
1017623,516
193471,523
700598,523
1482090,566
726113,552
1093537,551
747200,507
173168,523
1318698,489
750528,502
139498,517
1129180,358
658643,358
1130804,551
1115267,551
706658,523
1009889,490
1261750,551
1153056,551
185317,1141
1078036,503
223830,552
698699,552
319483,551
1275252,749
215297,523
1111219,489
1023061,502
1116114,551
103878,553
1868862,1144
1012840,490
737499,489
186376,490
742170,523
1301553,749
1038996,503
1078587,368
929420,490
1007138,357
116067,519
638408,551
1256606,566
1678481,764
1007138,356
152772,523
1092791,551
722709,523
836609,523
1038996,514
207684,489
686001,566
1807164,515
1012760,490
1009239,503
1261906,551
311098,507
1009029,523
972734,515
1012521,777
983922,664
699529,752
1228534,490
424197,489
730824,489
424197,523
1342568,566
1575678,551
1128748,504
728057,514
1621652,566
1679661,794
1626605,508
646920,571
1111342,503
710132,523
1499474,572
1113020,551
1093364,507
1725333,566
206022,672
1100746,551
730493,489
1369682,490
209117,519
1115509,551
2068607,840
709256,1156
1011654,490
691282,523
206566,551
1024948,489
1295901,566
1257218,743
189870,552
170603,551
1259654,566
1122136,551
1419296,551
2068609,794
169600,551
725672,490
178973,572
1679684,515
1008319,489
934991,523
1253118,490
499196,490
1676053,566
652674,566
708630,523
1798730,794
750528,551
1342583,566
211143,551
1315971,514
1869530,563
1136174,1128
1595065,571
169469,523
642804,508
1482311,764
1103620,794
712827,366
693414,1141
720390,489
107447,523
990503,757
1482231,516
369862,356
174104,523
1128920,551
179990,571
203691,1146
1129015,551
711791,366
1122693,511
893670,749
1559139,1103
721987,366
1127965,551
1078396,504
1376175,551
709462,572
176557,551
1042148,368
1310585,757
183754,490
1074251,566
1191570,750
155251,829
994838,368
1679686,572
1093965,504
182346,523
191341,523
1508918,507
1092459,515
723474,523
644052,523
639199,551
163397,515
1008010,363
1005953,523
406508,523
699686,523
786649,367
720315,514
1013023,523
1337007,564
707248,744
1679739,566
1573222,745
188440,809
1575086,361
1366119,749
786530,368
1165672,840
908257,360
1261752,513
711791,523
1262462,551
1798781,570
178913,566
203118,514
1092502,551
1012344,368
1482022,569
1482348,551
1437523,794
1342690,502
1176331,490
1115243,503
1369704,515
1060519,523
709416,523
1575086,764
1085361,551
1129007,508
1375190,513
1575086,514
1129008,551
1262618,551
1262641,566
714168,523
695681,359
738474,523
192260,523
1796483,572
1798825,745
1091025,551
1129051,551
737557,552
1482402,515
169259,489
170545,552
1092607,551
1310585,566
1539771,551
1059131,552
187305,566
1256141,551
744945,515
189568,764
723474,515
205279,367
1334556,749
456843,523
195250,752
1129056,519
1043539,551
1522486,745
1076172,504
1479307,551
995263,552
56388,517
1642362,810
1482466,566
2068652,749
1245808,515
722166,508
1078357,551
1247329,515
733453,366
1059131,514
1059131,515
1079331,515
1262194,553
731735,757
1403005,566
721533,523
697502,356
1211480,514
1262961,571
1256684,514
1505409,755
1798559,566
1092858,489
729834,361
1870387,794
1043347,566
1263024,551
1407037,551
745420,502
710330,523
544576,489
1115406,551
1679800,566
187163,551
544576,515
1129228,551
1006308,515
164573,490
1010934,511
1004087,502
194848,750
1263151,489
2068646,1125
418979,752
707750,489
1016868,551
1650153,502
1666564,566
1258089,566
1000260,515
718001,515
1221165,566
717747,551
401420,765
1604331,566
953690,368
1483313,1156
215297,752
742364,1138
1679840,750
1129146,551
1798870,566
637863,504
1095511,741
752648,367
808912,519
1575986,756
192841,523
723431,523
418979,570
947743,489
1059131,551
185527,745
691715,490
1126688,519
734554,366
1007913,752
1725657,519
911425,358
1493436,514
168317,523
716802,368
1010084,502
1059131,516
1392836,507
1263384,566
1263416,551
167724,551
304292,551
1263469,745
1075525,551
1013504,513
152007,490
1634168,794
920044,502
1093382,551
221885,551
215176,523
164573,523
693180,523
693977,745
1011598,503
730493,356
1011579,490
989682,367
1003109,368
937619,566
1805849,513
739384,514
1166040,745
1447948,764
706233,523
784986,366
1525745,743
1325720,515
1129150,551
742298,1099
715886,366
649377,551
1018496,551
649377,507
1129173,551
1368636,366
1215552,741
1319187,357
1006184,490
1093154,489
1345799,551
174950,523
1129205,551
1313835,566
997541,514
1623955,570
1390459,551
747927,368
180501,745
1868403,1139
774896,357
1059131,357
1868403,745
1095051,517
716475,368
717323,551
1143946,840
1014100,523
1130456,551
1231502,566
1093619,551
174550,523
724365,570
720045,523
1030524,551
693460,679
694074,523
1795069,357
1093332,551
192464,551
195870,551
688695,566
720315,489
749129,368
204469,489
1013847,490
107829,367
1013874,368
1068211,551
1342691,659
166263,362
720315,515
1324151,749
208273,551
1013870,368
447886,523
887933,361
1013761,508
210757,366
1013888,523
1867416,570
1013546,490
1086827,552
250920,489
188734,365
1187915,566
1853156,908
586772,357
1129257,551
1129330,551
719343,566
103241,489
694251,523
475713,357
171737,523
720315,502
1231502,490
1078772,490
1110584,749
1231502,551
1595302,745
912343,366
1483076,490
167319,519
1012870,551
671875,551
697618,551
639391,519
922206,363
203118,750
1012801,518
1221973,514
1144896,367
175997,794
1083486,516
1162825,508
1480170,776
894996,750
1319282,502
724493,366
943837,508
1357982,794
1016009,503
193093,551
859069,514
729965,523
1059131,502
1014111,356
106646,523
742192,551
935360,356
1058697,552
715809,566
188586,568
995980,516
946472,523
1543383,742
709206,553
1725758,679
173997,490
895494,368
1129141,551
1595826,566
1520538,749
183831,509
1557400,551
1014432,515
273199,366
1129247,507
690405,519
1264095,490
194578,523
1082268,551
179377,745
201680,809
226492,523
755881,367
673533,523
1798959,566
214860,367
224564,516
201696,570
184461,777
939140,566
422855,489
1476942,551
169387,507
753818,515
709679,523
1140138,514
170809,489
189983,551
952183,551
406795,551
1895966,1103
1014030,490
1088529,551
751616,518
1093777,503
1223790,551
1091653,551
2067695,764
1337473,551
1043268,361
933380,366
455692,515
914786,367
1016312,507
915948,514
1060388,502
415811,523
735233,517
1607212,502
707260,515
1493304,809
189521,1103
1658546,809
744914,814
716652,551
224841,551
1342732,551
1152096,564
1342666,551
1093735,518
1857741,566
1115684,551
1116159,551
405299,523
1739046,566
1377023,551
191632,551
1079125,490
103198,515
693762,523
651356,551
1022130,551
717981,551
1014377,361
165081,551
1621748,809
1010536,356
700963,829
922206,366
1120046,551
935530,489
163319,551
1078863,518
1789535,840
737710,566
183894,367
1012549,502
1108376,551
1142953,551
1055773,507
206494,516
1896005,1145
1799049,840
929420,551
208769,764
1015072,368
521826,490
1387908,566
990425,515
179032,515
1015134,363
707598,523
721342,570
1142760,551
965440,745
207652,745
1191451,1100
1038969,764
724416,368
748418,368
956813,502
1044865,502
1796792,810
638554,553
961353,515
728033,358
1014432,490
1078882,765
748873,490
716140,490
1316375,551
952650,519
1017886,503
1651927,515
1222074,490
1576261,551
1857768,757
1084603,551
905904,489
1015260,511
939223,551
1319989,752
1642716,552
703317,503
1473740,749
1131363,750
990222,368
170020,551
944466,361
224575,359
707246,552
994255,514
858772,504
1008491,551
916717,358
1557234,572
1125419,551
1676108,794
724626,745
1799127,566
1869823,794
1076524,504
213870,794
114802,571
1015695,367
1445945,566
1123041,777
1557337,551
188586,523
1080160,507
422708,523
929039,490
1012602,368
708637,551
720045,572
197747,365
574344,794
1010304,490
1115785,366
430661,507
730219,358
104907,517
1066057,513
1066316,515
105718,553
1193933,514
436256,366
696993,551
444232,551
1258787,571
961034,515
969784,515
1107789,551
1142967,551
644052,572
1079414,551
861999,776
1095697,551
209460,551
103743,553
720390,515
1015879,490
729646,551
1015916,357
1129448,551
204528,516
1016571,514
1016838,507
1016862,489
1015796,515
1233855,679
1203947,490
206025,777
1319511,365
703457,357
1143093,757
188666,551
1093859,489
1009119,368
1634320,809
200980,504
948540,368
1012329,490
1104720,551
1093139,514
1016115,368
1319580,551
169888,755
1015873,489
176650,566
1093918,366
698540,564
1126392,551
637817,361
860710,490
691188,519
188013,551
1014860,361
709301,750
170214,1100
1799133,490
1021132,749
1476502,502
2076032,566
1093940,356
744719,356
1016317,523
695429,745
751091,1152
1016036,368
647711,361
1129007,507
1129546,508
1025527,572
902609,357
681599,515
1014961,366
174018,552
1431107,750
1009603,523
180994,358
1306714,745
1431107,757
1852156,564
702705,570
719699,809
703501,791
1116106,551
1005661,368
987894,489
1593207,356
644052,552
1623986,1103
1016677,490
1172377,562
196253,515
953401,764
1477887,745
1007168,515
197118,490
1114604,551
618333,570
1093255,514
722135,794
706802,507
174805,356
582358,1138
2061074,1152
1678135,504
1118669,523
1015214,518
1079398,514
1438019,551
1092360,551
1061422,504
990510,794
1670684,566
1016728,368
185328,366
1012100,490
1016825,516
1010736,367
1021564,518
1080175,551
1129689,551
1015151,519
1340543,566
109035,517
1069730,490
1754457,794
211174,516
1018041,513
1016650,490
1659067,571
204143,515
719225,368
182926,752
897004,516
1016245,490
187265,519
911063,519
178058,361
1143274,1138
1158393,744
1078991,513
997833,551
1026212,489
1116016,551
1710889,490
599094,362
